Gender,Age,Income,Score,Noisy1,Noisy2,Noisy3,Noisy4
1,31,70,77,37,108,62,89
0,43,71,35,23,82,35,82
0,40,71,95,31,70,40,83
0,59,71,11,19,89,43,81
0,38,71,75,27,75,46,84
0,47,71,9,17,96,45,96
0,39,71,75,29,76,37,87
1,25,72,34,18,95,47,77
1,31,72,71,31,95,44,89
0,20,73,5,28,88,39,97
1,29,73,88,14,97,55,77
1,44,73,7,28,99,46,86
0,32,73,73,26,101,36,87
0,19,74,10,29,87,37,106
1,35,74,72,22,90,34,94
1,57,75,5,33,85,38,87
0,32,75,93,19,87,37,72
1,28,76,40,34,85,38,85
1,32,76,87,19,83,31,79
0,25,77,12,19,107,32,93
0,28,77,97,31,124,26,69
0,48,77,36,27,94,45,87
1,32,77,74,28,93,39,109
1,34,78,22,26,82,43,83
0,34,78,90,22,90,48,88
0,43,78,17,36,96,33,74
0,39,78,88,28,91,36,92
1,44,78,20,22,85,62,89
1,38,78,76,29,95,45,104
1,47,78,16,31,93,40,95
1,27,78,89,36,81,52,89
0,37,78,1,37,86,57,83
1,30,78,78,26,84,45,75
0,34,78,1,19,78,46,70
1,30,78,73,17,87,45,89
1,56,79,35,21,79,48,83
1,29,79,83,27,101,41,106
0,19,81,5,28,91,45,90
1,31,81,93,23,79,44,77
0,50,85,26,23,93,37,92
1,36,85,75,29,81,35,102
0,42,86,20,29,73,36,83
1,33,86,95,24,88,61,92
1,36,87,27,32,96,45,87
0,32,87,63,26,67,42,87
0,40,87,13,23,85,39,94
0,28,87,75,22,95,38,95
0,36,87,10,24,83,39,84
0,36,87,92,22,89,37,80
1,52,88,13,21,92,36,91
1,30,88,86,31,78,50,92
0,58,88,15,23,89,44,92
0,27,88,69,32,82,39,96
0,59,93,14,24,117,38,67
0,35,93,90,16,100,34,96
1,37,97,32,23,79,40,84
1,32,97,86,21,101,38,88
0,46,98,15,22,83,46,85
1,29,98,88,19,82,44,78
1,41,99,39,24,84,43,93
0,30,99,97,24,90,43,85
1,54,101,24,26,85,43,95
0,28,101,68,19,82,44,81
1,41,103,17,20,73,48,77
1,36,103,85,22,94,39,70
1,34,103,23,29,82,36,83
1,32,103,69,28,81,43,104
0,33,113,8,24,76,32,90
1,38,113,91,31,90,46,80
1,47,120,16,32,77,35,75
1,35,120,79,30,96,46,78
1,45,126,28,25,87,38,77
0,32,126,74,22,96,39,96
0,32,137,18,29,88,37,78
0,30,137,83,26,92,54,91
